language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens
English		hit	1433	1433	hɪt	-175	h ɪ t
French		hit	1433	1433	frape	-174	f r a p e
German		hit	1433	1433	ʃlaːg	173	ʃ l aː g
Hawaiian		hit	1433	1433	kuʔi	180	k u ʔ i
Navajo		hit	1433	1433	ńdiːɬʦˀin	178	n̩ d iː ɬ tsˀ i n
Turkish		hit	1433	1433	vur	176	v u r
Albanian		hold	1448	1448	mba	811	m b a
English		hold	1448	1448	hold	808	h o l d
French		hold	1448	1448	tən	809	t ə n
German		hold	1448	1448	halt	808	h a l t
Hawaiian		hold	1448	1448	paʔa	813	p a ʔ a
Navajo		hold	1448	1448	jotãʔ	812	j o t ã ʔ
Turkish		hold	1448	1448	tut	810	t u t
Albanian		horn	1393	1393	brir	1085	b r i r
English		horn	1393	1393	hɔrn	1083	h ɔ r n
French		horn	1393	1393	kɔrn	1083	k ɔ r n
German		horn	1393	1393	horn	1083	h o r n
Hawaiian		horn	1393	1393	kiwi	1087	k i w i
Navajo		horn	1393	1393	deːʔ	1086	d eː ʔ
Turkish		horn	1393	1393	bojnuz	1084	b o j n u z
Albanian		hot	1286	1286	nʣeht	999	n dz e h t
English		hot	1286	1286	hɑt	996	h ɑ t
French		hot	1286	1286	ʃod	997	ʃ o d
German		hot	1286	1286	hais	996	h ai s
Hawaiian		hot	1286	1286	wela	1001	w e l a
Navajo		hot	1286	1286	sido	1000	s i d o
Turkish		hot	1286	1286	sɯjak	998	s ɯ j a k
Albanian		human	683	683	ɲeri	49	ɲ e r i
English		human	683	683	hjumən	-47	h j u m ə n
French		human	683	683	ymɛn	-47	y m ɛ n
German		human	683	683	menʃən	46	m e n ʃ ə n
Hawaiian		human	683	683	kanaka	51	k a n a k a
Navajo		human	683	683	dine	50	d i n e
Turkish		human	683	683	adam	-48	a d a m
Albanian		hunt	1435	1435	ɟua	267	ɟ u a
English		hunt	1435	1435	hənt	265	h ə n t
French		hunt	1435	1435	ʃase	264	ʃ a s e
German		hunt	1435	1435	jaːg	263	j aː g
Hawaiian		hunt	1435	1435	hahai	270	h a h a i
Navajo		hunt	1435	1435	haːlʒeːh	268	h aː l ʒ eː h
Turkish		hunt	1435	1435	avla	266	a v l a
Albanian		husband	1200	1200	burː	324	b u rː
English		husband	1200	1200	həzbənd	-322	h ə z b ə n d
French		husband	1200	1200	mari	321	m a r i
German		husband	1200	1200	gatə	320	g a t ə
Hawaiian		husband	1200	1200	kaːne	326	k aː n e
Navajo		husband	1200	1200	hastiːn	325	h a s t iː n
Turkish		husband	1200	1200	koʤa	-323	k o dʒ a
Albanian		ice	617	617	akuł	451	a k u lˠ
English		ice	617	617	ais	448	ai s
French		ice	617	617	glas	449	g l a s
German		ice	617	617	ais	448	ai s
Hawaiian		ice	617	617	hau	453	h a u
Navajo		ice	617	617	tin	452	t i n
Turkish		ice	617	617	buz	450	b u z
Albanian		if	1459	1459	coft	972	c o f t
English		if	1459	1459	ɪf	970	ɪ f
French		if	1459	1459	si	969	s i
German		if	1459	1459	ven	968	v e n
Hawaiian		if	1459	1459	inaː	974	i n aː
Navajo		if	1459	1459	dãː	973	d ãː
Turkish		if	1459	1459	eɣer	-971	e ɣ e r
Albanian		in	1460	1460	nə	957	n ə
English		in	1460	1460	ɪn	957	ɪ n
French		in	1460	1460	dɑ̃	957	d ɑ̃
German		in	1460	1460	in	957	i n
Hawaiian		in	1460	1460	loko	960	l o k o
Navajo		in	1460	1460	iːʔ	959	iː ʔ
Turkish		in	1460	1460	iʧin	958	i tʃ i n
Albanian		kill	1417	1417	vr	42	v r
English		kill	1417	1417	kɪl	40	k ɪ l
French		kill	1417	1417	tye	39	t y e
German		kill	1417	1417	tøːt	38	t øː t
Hawaiian		kill	1417	1417	pepehiaːmake	45	p e p e h i aː m a k e
Navajo		kill	1417	1417	ʔiːɣe	43	ʔ iː ɣ e
Turkish		kill	1417	1417	øldyr	41	ø l d y r
Albanian		knee	1371	1371	ɟur	1127	ɟ u r
English		knee	1371	1371	ni	1125	n i
French		knee	1371	1371	ʒənu	1125	ʒ ə n u
German		knee	1371	1371	kniː	1125	k n iː
Hawaiian		knee	1371	1371	kuli	1129	k u l i
Navajo		knee	1371	1371	god	1128	g o d
Turkish		knee	1371	1371	diz	1126	d i z
Albanian		knife	1352	1352	θik	489	θ i k
English		knife	1352	1352	naif	487	n ai f
French		knife	1352	1352	kuto	486	k u t o
German		knife	1352	1352	mesər	485	m e s ə r
Hawaiian		knife	1352	1352	pahi	491	p a h i
Navajo		knife	1352	1352	beːʃ	490	b eː ʃ
Turkish		knife	1352	1352	bɯʧak	488	b ɯ tʃ a k
Albanian		know	1410	1410	di	1242	d i
English		know	1410	1410	no	1240	n o
French		know	1410	1410	sa	1239	s a
German		know	1410	1410	vis	1238	v i s
Hawaiian		know	1410	1410	ʔike	1245	ʔ i k e
Navajo		know	1410	1410	beːhozin	1243	b eː h o z i n
Turkish		know	1410	1410	bil	1241	b i l
Albanian		lake	624	624	licen	-113	l i c e n
English		lake	624	624	lek	-111	l e k
French		lake	624	624	lak	-111	l a k
German		lake	624	624	zeː	110	z eː
Hawaiian		lake	624	624	loko	115	l o k o
Navajo		lake	624	624	toːh	114	t oː h
Turkish		lake	624	624	gøl	112	g ø l
Albanian		laugh	1355	1355	ceʃ	679	c e ʃ
English		laugh	1355	1355	laf	676	l a f
French		laugh	1355	1355	ri	677	r i
German		laugh	1355	1355	lax	676	l a x
Hawaiian		laugh	1355	1355	ʔaka	681	ʔ a k a
Navajo		laugh	1355	1355	jidˡoh	680	j i dˡ o h
Turkish		laugh	1355	1355	gyl	678	g y l
Albanian		leaf	628	628	ɟeθ	430	ɟ e θ
English		leaf	628	628	lif	428	l i f
French		leaf	628	628	fœj	427	f œ j
German		leaf	628	628	blat	426	b l a t
Hawaiian		leaf	628	628	lau	432	l a u
Navajo		leaf	628	628	tˀãːʔ	431	tˀ ãː ʔ
Turkish		leaf	628	628	japrak	429	j a p r a k
Albanian		left	244	244	majt	1218	m a j t
English		left	244	244	lɛft	1216	l ɛ f t
French		left	244	244	goʃ	-1215	g o ʃ
German		left	244	244	liŋk	1214	l i ŋ k
Hawaiian		left	244	244	hema	1221	h e m a
Navajo		left	244	244	niʃtˡˀa	1219	n i ʃ tˡˀ a
Turkish		left	244	244	sol	1217	s o l
Albanian		lie	1411	1411	ʃtrir	978	ʃ t r i r
English		lie	1411	1411	lai	975	l ai
French		lie	1411	1411	alɔ̃ʒe	976	a l ɔ̃ ʒ e
German		lie	1411	1411	liːg	975	l iː g
Hawaiian		lie	1411	1411	moe	981	m o e
Navajo		lie	1411	1411	sitĩ́	979	s i t ĩ
Turkish		lie	1411	1411	jat	977	j a t
Albanian		liver	1224	1224	məlʧi	796	m ə l tʃ i
English		liver	1224	1224	lɪvər	793	l ɪ v ə r
French		liver	1224	1224	fwa	-794	f w a
German		liver	1224	1224	leːbər	793	l eː b ə r
Hawaiian		liver	1224	1224	ake	799	a k e
Navajo		liver	1224	1224	zid	797	z i d
Turkish		liver	1224	1224	ʤiɣer	-795	dʒ i ɣ e r
Albanian		long	1203	1203	ɟat	728	ɟ a t
English		long	1203	1203	lɔŋ	728	l ɔ ŋ
French		long	1203	1203	lɔ̃g	728	l ɔ̃ g
German		long	1203	1203	laŋ	728	l a ŋ
Hawaiian		long	1203	1203	loa	731	l o a
Navajo		long	1203	1203	nineːz	730	n i n eː z
Turkish		long	1203	1203	uzun	729	u z u n
Albanian		louse	1392	1392	morː	601	m o rː
English		louse	1392	1392	laus	598	l au s
French		louse	1392	1392	pu	599	p u
German		louse	1392	1392	lauz	598	l au z
Hawaiian		louse	1392	1392	ʔuku	603	ʔ u k u
Navajo		louse	1392	1392	jaːʔ	602	j aː ʔ
Turkish		louse	1392	1392	bit	600	b i t
Albanian		man	1554	1554	burː	1146	b u rː
English		man	1554	1554	man	1143	m a n
French		man	1554	1554	ɔm	1144	ɔ m
German		man	1554	1554	man	1143	m a n
Hawaiian		man	1554	1554	kaːne	1149	k aː n e
Navajo		man	1554	1554	hastiːn	1147	h a s t iː n
Turkish		man	1554	1554	erkek	1145	e r k e k
Albanian		many	1198	1198	ʃum	-594	ʃ u m
English		many	1198	1198	mɛni	592	m ɛ n i
French		many	1198	1198	boku	591	b o k u
German		many	1198	1198	fiːl	590	f iː l
Hawaiian		many	1198	1198	nui	597	n u i
Navajo		many	1198	1198	lãʔi	595	l ã ʔ i
Turkish		many	1198	1198	ʧok	-593	tʃ o k
Albanian		meat	634	634	miʃ	252	m i ʃ
English		meat	634	634	mit	250	m i t
French		meat	634	634	vjɑ̃d	249	v j ɑ̃ d
German		meat	634	634	flaiʃ	248	f l ai ʃ
Hawaiian		meat	634	634	ʔiʔo	255	ʔ i ʔ o
Navajo		meat	634	634	ʦĩʔ	253	ts ĩ ʔ
Turkish		meat	634	634	et	251	e t
Albanian		moon	1313	1313	hən	457	h ə n
English		moon	1313	1313	mun	454	m u n
French		moon	1313	1313	lyn	455	l y n
German		moon	1313	1313	moːnd	454	m oː n d
Hawaiian		moon	1313	1313	mahina	459	m a h i n a
Navajo		moon	1313	1313	ʔoːlʤeːʔ	458	ʔ oː l dʒ eː ʔ
Turkish		moon	1313	1313	aj	456	a j
Albanian		mother	1216	1216	nən	1199	n ə n
English		mother	1216	1216	məðər	1197	m ə ð ə r
French		mother	1216	1216	mɛr	1197	m ɛ r
German		mother	1216	1216	mutər	1197	m u t ə r
Hawaiian		mother	1216	1216	makuahine	1201	m a k u a h i n e
Navajo		mother	1216	1216	may	1200	m ai
Turkish		mother	1216	1216	anne	1198	a n n e
Albanian		mountain	639	639	mal	1063	m a l
English		mountain	639	639	mauntən	-1061	m au n t ə n
French		mountain	639	639	mɔ̃taɲ	1061	m ɔ̃ t a ɲ
German		mountain	639	639	berg	1060	b e r g
Hawaiian		mountain	639	639	mauna	1065	m a u n a
Navajo		mountain	639	639	ʣiɬ	1064	dz i ɬ
Turkish		mountain	639	639	daɣ	1062	d a ɣ
Albanian		mouth	674	674	goj	-1108	g o j
English		mouth	674	674	mauθ	1105	m au θ
French		mouth	674	674	buʃ	1106	b u ʃ
German		mouth	674	674	mund	1105	m u n d
Hawaiian		mouth	674	674	waha	1111	w a h a
Navajo		mouth	674	674	zeːʔ	1109	z eː ʔ
Turkish		mouth	674	674	aɣz	1107	a ɣ z
Albanian		name	1405	1405	emər	244	e m ə r
English		name	1405	1405	nem	244	n e m
French		name	1405	1405	nɔ̃	244	n ɔ̃
German		name	1405	1405	naːmən	244	n aː m ə n
Hawaiian		name	1405	1405	inoa	247	i n o a
Navajo		name	1405	1405	ʒiʔ	246	ʒ i ʔ
Turkish		name	1405	1405	ad	245	a d
Albanian		narrow	1267	1267	nguʃt	-630	n g u ʃ t
English		narrow	1267	1267	naro	632	n a r o
French		narrow	1267	1267	etrwat	631	e t r w a t
German		narrow	1267	1267	eŋ	630	e ŋ
Hawaiian		narrow	1267	1267	laːʔiki	635	l aː ʔ i k i
Navajo		narrow	1267	1267	ʔayɬʦˀoːzi	634	ʔ ai ɬ tsˀ oː z i
Turkish		narrow	1267	1267	dar	633	d a r
Albanian		near	1942	1942	afər	892	a f ə r
English		near	1942	1942	nɪr	889	n ɪ r
French		near	1942	1942	prɛ	890	p r ɛ
German		near	1942	1942	naː	889	n aː
Hawaiian		near	1942	1942	kokoke	895	k o k o k e
Navajo		near	1942	1942	ʔayhayni	893	ʔ ai h ai n i
Turkish		near	1942	1942	jakɯn	891	j a k ɯ n
Albanian		neck	1333	1333	caf	-1158	c a f
English		neck	1333	1333	nɛk	1156	n ɛ k
French		neck	1333	1333	ku	1155	k u
German		neck	1333	1333	halz	1155	h a l z
Hawaiian		neck	1333	1333	ʔaːʔiː	1160	ʔ aː ʔ iː
Navajo		neck	1333	1333	kˀos	1159	kˀ o s
Turkish		neck	1333	1333	bojn	1157	b o j n
Albanian		new	1231	1231	ri	475	r i
English		new	1231	1231	nu	473	n u
French		new	1231	1231	nuvɛl	473	n u v ɛ l
German		new	1231	1231	noi	473	n oi
Hawaiian		new	1231	1231	hou	477	h o u
Navajo		new	1231	1231	niːd	476	n iː d
Turkish		new	1231	1231	jeni	474	j e n i
Albanian		night	1233	1233	nat	289	n a t
English		night	1233	1233	nait	289	n ai t
French		night	1233	1233	nɥi	289	n ɥ i
German		night	1233	1233	naxt	289	n a x t
Hawaiian		night	1233	1233	poː	292	p oː
Navajo		night	1233	1233	tˡˀeːʔ	291	tˡˀ eː ʔ
Turkish		night	1233	1233	geʤe	290	g e dʒ e
Albanian		nose	1221	1221	hund	286	h u n d
English		nose	1221	1221	noz	284	n o z
French		nose	1221	1221	ne	284	n e
German		nose	1221	1221	naːzə	284	n aː z ə
Hawaiian		nose	1221	1221	ihu	288	i h u
Navajo		nose	1221	1221	ʧĩ́ːh	287	tʃ ĩː h
Turkish		nose	1221	1221	burn	285	b u r n
Albanian		not	1240	1240	nuk	27	n u k
English		not	1240	1240	nɑt	24	n ɑ t
French		not	1240	1240	pa	25	p a
German		not	1240	1240	nixt	24	n i x t
Hawaiian		not	1240	1240	ʔaʔole	29	ʔ a ʔ o l e
Navajo		not	1240	1240	doː	28	d oː
Turkish		not	1240	1240	deɣil	26	d e ɣ i l
Albanian		now	1376	1376	tani	235	t a n i
English		now	1376	1376	nau	232	n au
French		now	1376	1376	mɛ̃tnɑ̃	233	m ɛ̃ t n ɑ̃
German		now	1376	1376	nuːn	232	n uː n
Hawaiian		now	1376	1376	ʔaːnoː	237	ʔ aː n oː
Navajo		now	1376	1376	kˀad	236	kˀ a d
Turkish		now	1376	1376	ʃimdi	234	ʃ i m d i
Albanian		old	1229	1229	vjetər	-343	v j e t ə r
English		old	1229	1229	old	342	o l d
French		old	1229	1229	vjɛj	343	v j ɛ j
German		old	1229	1229	alt	342	a l t
Hawaiian		old	1229	1229	oʔo	346	o ʔ o
Navajo		old	1229	1229	sayni	345	s ai n i
Turkish		old	1229	1229	ihtijar	-344	i h t i j a r
Albanian		one	1493	1493	ɲə	663	ɲ ə
English		one	1493	1493	wən	661	w ə n
French		one	1493	1493	œ̃	661	œ̃
German		one	1493	1493	ain	661	ai n
Hawaiian		one	1493	1493	ʔekahi	665	ʔ e k a h i
Navajo		one	1493	1493	ɬayʔiː	664	ɬ ai ʔ iː
Turkish		one	1493	1493	bir	662	b i r
Albanian		other	197	197	tjetər	1005	t j e t ə r
English		other	197	197	əðər	1002	ə ð ə r
French		other	197	197	otr	1003	o t r
German		other	197	197	andər	1002	a n d ə r
Hawaiian		other	197	197	ʔeː	1007	ʔ eː
Navajo		other	197	197	ɬah	1006	ɬ a h
Turkish		other	197	197	baʃka	1004	b a ʃ k a
Albanian		path	2252	2252	ʃteg	557	ʃ t e g
English		path	2252	2252	paθ	554	p a θ
French		path	2252	2252	sɑ̃tje	555	s ɑ̃ t j e
German		path	2252	2252	p͡faːd	554	pf aː d
Hawaiian		path	2252	2252	ala	559	a l a
Navajo		path	2252	2252	tiːn	558	t iː n
Turkish		path	2252	2252	jol	556	j o l
Albanian		play	1413	1413	lua	1051	l u a
English		play	1413	1413	ple	1049	p l e
French		play	1413	1413	ʒue	1048	ʒ u e
German		play	1413	1413	ʃpiːl	1047	ʃ p iː l
Hawaiian		play	1413	1413	paːʔani	1054	p aː ʔ a n i
Navajo		play	1413	1413	naːne	1052	n aː n e
Turkish		play	1413	1413	ojna	1050	o j n a
Albanian		pull	1455	1455	tərhec	851	t ə r h e c
English		pull	1455	1455	pʊl	849	p ʊ l
French		pull	1455	1455	tire	848	t i r e
German		pull	1455	1455	ʦiː	847	ts iː
Hawaiian		pull	1455	1455	huki	854	h u k i
Navajo		pull	1455	1455	jiʣĩ́ːs	852	j i dz ĩː s
Turkish		pull	1455	1455	ʧek	850	tʃ e k
Albanian		push	1452	1452	ʃty	1202	ʃ t y
English		push	1452	1452	pʊʃ	-1203	p ʊ ʃ
French		push	1452	1452	puse	1203	p u s e
German		push	1452	1452	ʃtoːs	1202	ʃ t oː s
Hawaiian		push	1452	1452	pahu	1207	p a h u
Navajo		push	1452	1452	beɣiːɬ	1205	b e ɣ iː ɬ
Turkish		push	1452	1452	it	1204	i t
Albanian		rain	658	658	ʃi	1091	ʃ i
English		rain	658	658	ren	1088	r e n
French		rain	658	658	plɥi	1089	p l ɥ i
German		rain	658	658	reːgən	1088	r eː g ə n
Hawaiian		rain	658	658	ua	1093	u a
Navajo		rain	658	658	niɬʦã́	1092	n i ɬ ts ã
Turkish		rain	658	658	jaɣmur	1090	j a ɣ m u r
Albanian		red	156	156	kuc	-703	k u c
English		red	156	156	rɛd	701	r ɛ d
French		red	156	156	ruʒ	701	r u ʒ
German		red	156	156	roːt	701	r oː t
Hawaiian		red	156	156	ʔula	705	ʔ u l a
Navajo		red	156	156	ɬiʧiːh	704	ɬ i tʃ iː h
Turkish		red	156	156	kɯzɯl	702	k ɯ z ɯ l
Albanian		right	1019	1019	djaθt	673	d j a θ t
English		right	1019	1019	rait	671	r ai t
French		right	1019	1019	drwat	671	d r w a t
German		right	1019	1019	rext	671	r e x t
Hawaiian		right	1019	1019	ʔaːkau	675	ʔ aː k a u
Navajo		right	1019	1019	niʃnay	674	n i ʃ n ai
Turkish		right	1019	1019	saɣ	672	s a ɣ
Albanian		river	666	666	lum	312	l u m
English		river	666	666	rɪvər	-310	r ɪ v ə r
French		river	666	666	fløv	-309	f l ø v
German		river	666	666	flus	308	f l u s
Hawaiian		river	666	666	kahawai	314	k a h a w a i
Navajo		river	666	666	toːh	313	t oː h
Turkish		river	666	666	nehir	-311	n e h i r
Albanian		root	670	670	rːəɲ	911	rː ə ɲ
English		root	670	670	rut	-911	r u t
French		root	670	670	rasin	911	r a s i n
German		root	670	670	vurʦəl	911	v u r ts ə l
Hawaiian		root	670	670	aʔa	914	a ʔ a
Navajo		root	670	670	ketˡˀoːl	913	k e tˡˀ oː l
Turkish		root	670	670	køk	912	k ø k
Albanian		rotten	1728	1728	kalbur	463	k a l b u r
English		rotten	1728	1728	rɑtən	-461	r ɑ t ə n
French		rotten	1728	1728	puri	460	p u r i
German		rotten	1728	1728	faul	460	f au l
Hawaiian		rotten	1728	1728	pilau	465	p i l a u
Navajo		rotten	1728	1728	diɬʣiːd	464	d i ɬ dz iː d
Turkish		rotten	1728	1728	ʧyryk	462	tʃ y r y k
Albanian		round	1395	1395	rːumbułak	317	rː u m b u lˠ a k
English		round	1395	1395	raund	-315	r au n d
French		round	1395	1395	rɔ̃d	315	r ɔ̃ d
German		round	1395	1395	rund	-315	r u n d
Hawaiian		round	1395	1395	poepoe	319	p o e p o e
Navajo		round	1395	1395	nimaz	318	n i m a z
Turkish		round	1395	1395	juvarlak	316	j u v a r l a k
Albanian		rub	1449	1449	fərko	-511	f ə r k o
English		rub	1449	1449	rəb	509	r ə b
French		rub	1449	1449	frɔte	508	f r ɔ t e
German		rub	1449	1449	raib	507	r ai b
Hawaiian		rub	1449	1449	ʔaːnai	513	ʔ aː n a i
Navajo		rub	1449	1449	bidiniɣiʃ	512	b i d i n i ɣ i ʃ
Turkish		rub	1449	1449	syrt	510	s y r t
Albanian		salt	1274	1274	krip	1171	k r i p
English		salt	1274	1274	sɔlt	1169	s ɔ l t
French		salt	1274	1274	sɛl	1169	s ɛ l
German		salt	1274	1274	zalʦ	1169	z a l ts
Hawaiian		salt	1274	1274	paʔakai	1173	p a ʔ a k a i
Navajo		salt	1274	1274	ʔayʃĩːh	1172	ʔ ai ʃ ĩː h
Turkish		salt	1274	1274	tuz	1170	t u z
Albanian		sand	671	671	rər	-445	r ə r
English		sand	671	671	sand	442	s a n d
French		sand	671	671	sabl	443	s a b l
German		sand	671	671	zand	442	z a n d
Hawaiian		sand	671	671	one	447	o n e
Navajo		sand	671	671	sei	446	s e i
Turkish		sand	671	671	kum	444	k u m
Albanian		say	1458	1458	θ	942	θ
English		say	1458	1458	se	939	s e
French		say	1458	1458	di	940	d i
German		say	1458	1458	zaːg	939	z aː g
Hawaiian		say	1458	1458	ʔoːlelo	944	ʔ oː l e l o
Navajo		say	1458	1458	ni	943	n i
Turkish		say	1458	1458	de	941	d e
Albanian		scratch	1436	1436	gərviʃ	8	g ə r v i ʃ
English		scratch	1436	1436	skraʧ	9	s k r a tʃ
French		scratch	1436	1436	grat	-8	g r a t
German		scratch	1436	1436	kraʦ	8	k r a ts
Hawaiian		scratch	1436	1436	walu	13	w a l u
Navajo		scratch	1436	1436	ʔaʧˀid	11	ʔ a tʃˀ i d
Turkish		scratch	1436	1436	tɯrmala	10	t ɯ r m a l a
Albanian		sea	1474	1474	det	400	d e t
English		sea	1474	1474	si	397	s i
French		sea	1474	1474	mɛr	398	m ɛ r
German		sea	1474	1474	zeː	397	z eː
Hawaiian		sea	1474	1474	kai	402	k a i
Navajo		sea	1474	1474	tonteːl	401	t o n t eː l
Turkish		sea	1474	1474	deniz	399	d e n i z
Albanian		see	1409	1409	ʃ	385	ʃ
English		see	1409	1409	si	385	s i
French		see	1409	1409	vwa	386	v w a
German		see	1409	1409	zeː	385	z eː
Hawaiian		see	1409	1409	ʔike	389	ʔ i k e
Navajo		see	1409	1409	jiʔĩ́	388	j i ʔ ĩ
Turkish		see	1409	1409	gør	387	g ø r
Albanian		seed	714	714	far	948	f a r
English		seed	714	714	sid	945	s i d
French		seed	714	714	grɛn	946	g r ɛ n
German		seed	714	714	zaːmən	945	z aː m ə n
Hawaiian		seed	714	714	ʔanoʔano	950	ʔ a n o ʔ a n o
Navajo		seed	714	714	kˀeːljei	949	kˀ eː l j e i
Turkish		seed	714	714	tohum	-947	t o h u m
Albanian		sew	1457	1457	cep	646	c e p
English		sew	1457	1457	so	644	s o
French		sew	1457	1457	kuz	644	k u z
German		sew	1457	1457	neː	643	n eː
Hawaiian		sew	1457	1457	humu	648	h u m u
Navajo		sew	1457	1457	nayiɬkad	647	n ai i ɬ k a d
Turkish		sew	1457	1457	dik	645	d i k
Albanian		sharp	1396	1396	mpreht	964	m p r e h t
English		sharp	1396	1396	ʃarp	961	ʃ a r p
French		sharp	1396	1396	trɑ̃ʃɑ̃t	962	t r ɑ̃ ʃ ɑ̃ t
German		sharp	1396	1396	ʃarf	961	ʃ a r f
Hawaiian		sharp	1396	1396	ʔoi	967	ʔ o i
Navajo		sharp	1396	1396	deːni	965	d eː n i
Turkish		sharp	1396	1396	keskin	963	k e s k i n
Albanian		short	1645	1645	ʃkurtər	-1150	ʃ k u r t ə r
English		short	1645	1645	ʃɔrt	1150	ʃ ɔ r t
French		short	1645	1645	kurt	1150	k u r t
German		short	1645	1645	kurʦ	-1150	k u r ts
Hawaiian		short	1645	1645	poːkole	1154	p oː k o l e
Navajo		short	1645	1645	jayʒi	1152	j ai ʒ i
Turkish		short	1645	1645	kɯsa	1151	k ɯ s a
Albanian		sing	1261	1261	kəndo	-683	k ə n d o
English		sing	1261	1261	sɪŋ	682	s ɪ ŋ
French		sing	1261	1261	ʃɑ̃te	683	ʃ ɑ̃ t e
German		sing	1261	1261	ziŋ	682	z i ŋ
Hawaiian		sing	1261	1261	mele	686	m e l e
Navajo		sing	1261	1261	hataːɬ	685	h a t aː ɬ
Turkish		sing	1261	1261	ʃarkɯ	684	ʃ a r k ɯ
Albanian		sit	1416	1416	ndeɲ	984	n d e ɲ
English		sit	1416	1416	sɪt	982	s ɪ t
French		sit	1416	1416	asiz	982	a s i z
German		sit	1416	1416	ziʦ	982	z i ts
Hawaiian		sit	1416	1416	noho	986	n o h o
Navajo		sit	1416	1416	siday	985	s i d ai
Turkish		sit	1416	1416	otur	983	o t u r
Albanian		skin	763	763	ləkur	56	l ə k u r
English		skin	763	763	skin	-54	s k i n
French		skin	763	763	po	53	p o
German		skin	763	763	haut	52	h au t
Hawaiian		skin	763	763	ʔili	58	ʔ i l i
Navajo		skin	763	763	kaygi	57	k ai g i
Turkish		skin	763	763	deri	55	d e r i
Albanian		sky	1732	1732	cieł	-650	c i e lˠ
English		sky	1732	1732	skai	-651	s k ai
French		sky	1732	1732	sjɛl	650	s j ɛ l
German		sky	1732	1732	himəl	649	h i m ə l
Hawaiian		sky	1732	1732	lani	654	l a n i
Navajo		sky	1732	1732	yay	653	y ai
Turkish		sky	1732	1732	gøk	652	g ø k
Albanian		sleep	1585	1585	fle	830	f l e
English		sleep	1585	1585	slip	827	s l i p
French		sleep	1585	1585	dɔr	828	d ɔ r
German		sleep	1585	1585	ʃlaːf	827	ʃ l aː f
Hawaiian		sleep	1585	1585	moe	832	m o e
Navajo		sleep	1585	1585	ʔaɬhoʃ	831	ʔ a ɬ h o ʃ
Turkish		sleep	1585	1585	uju	829	u j u
Albanian		small	1246	1246	vogəl	297	v o g ə l
English		small	1246	1246	smɔl	295	s m ɔ l
French		small	1246	1246	pətit	294	p ə t i t
German		small	1246	1246	klain	293	k l ai n
Hawaiian		small	1246	1246	iki	300	i k i
Navajo		small	1246	1246	jayʒi	298	j ai ʒ i
Turkish		small	1246	1246	kyʧyk	296	k y tʃ y k
Albanian		smell	1586	1586	er	-1037	e r
English		smell	1586	1586	smel	1035	s m e l
French		smell	1586	1586	sɑ̃t	1034	s ɑ̃ t
German		smell	1586	1586	riːx	1033	r iː x
Hawaiian		smell	1586	1586	honi	1040	h o n i
Navajo		smell	1586	1586	jiʃʧã́ː	1038	j i ʃ tʃ ãː
Turkish		smell	1586	1586	kokla	1036	k o k l a
Albanian		smoke	778	778	tym	-612	t y m
English		smoke	778	778	smok	613	s m o k
French		smoke	778	778	fyme	612	f y m e
German		smoke	778	778	raux	611	r au x
Hawaiian		smoke	778	778	uahi	616	u a h i
Navajo		smoke	778	778	ɬid	615	ɬ i d
Turkish		smoke	778	778	duman	614	d u m a n
Albanian		smooth	1234	1234	ləmo	880	l ə m o
English		smooth	1234	1234	smuð	878	s m u ð
French		smooth	1234	1234	lis	877	l i s
German		smooth	1234	1234	glat	876	g l a t
Hawaiian		smooth	1234	1234	malino	883	m a l i n o
Navajo		smooth	1234	1234	dilkõːh	881	d i l k õː h
Turkish		smooth	1234	1234	dyz	879	d y z
Albanian		snake	730	730	ɟarpər	656	ɟ a r p ə r
English		snake	730	730	snek	657	s n e k
French		snake	730	730	sɛrpɑ̃	656	s ɛ r p ɑ̃
German		snake	730	730	ʃlaŋə	655	ʃ l a ŋ ə
Hawaiian		snake	730	730	naheka	-657	n a h e k a
Navajo		snake	730	730	tˡˀiːʃ	659	tˡˀ iː ʃ
Turkish		snake	730	730	jɯlan	658	j ɯ l a n
Albanian		snow	784	784	bor	989	b o r
English		snow	784	784	sno	987	s n o
French		snow	784	784	nɛʒ	987	n ɛ ʒ
German		snow	784	784	ʃneː	987	ʃ n eː
Hawaiian		snow	784	784	hau	991	h a u
Navajo		snow	784	784	zas	990	z a s
Turkish		snow	784	784	kar	988	k a r
Albanian		some	1241	1241	disa	361	d i s a
English		some	1241	1241	səm	359	s ə m
French		some	1241	1241	kɛlkə	358	k ɛ l k ə
German		some	1241	1241	ainig	357	ai n i g
Hawaiian		some	1241	1241	kekahi	364	k e k a h i
Navajo		some	1241	1241	ɬaʔ	362	ɬ a ʔ
Turkish		some	1241	1241	bazɯ	-360	b a z ɯ
Albanian		spit	1440	1440	pəʃty	769	p ə ʃ t y
English		spit	1440	1440	spɪt	767	s p ɪ t
French		spit	1440	1440	kraʃe	-766	k r a ʃ e
German		spit	1440	1440	ʃpuk	-765	ʃ p u k
Hawaiian		spit	1440	1440	kuha	771	k u h a
Navajo		spit	1440	1440	diʒeːh	770	d i ʒ eː h
Turkish		spit	1440	1440	tykyr	768	t y k y r
Albanian		split	1437	1437	ʧa	152	tʃ a
English		split	1437	1437	splɪit	-149	s p l ɪ t
French		split	1437	1437	fɑ̃d	150	f ɑ̃ d
